familia,especie,categoria_listaroja,temperatura_promedio_anual,precipitacion_promedio_anual
Sapotaceae,Pouteria subrotata,Least Concern,25.55396827061971,236.74126984126985
Sapotaceae,Pouteria torta,Least Concern,23.840898519066236,192.62988826815644
Sapotaceae,Pouteria trilocularis,Least Concern,24.670410593782645,218.66666666666666
Sapotaceae,Pouteria viridis,Least Concern,22.871683698122194,219.3656462585034
Sapotaceae,Pradosia grisebachii,Least Concern,25.35912694123687,247.44179894179894
Capparaceae,Preslianthus pittieri,Least Concern,25.136706740679386,242.64061456245824
Arecaceae,Prestoea acuminata,Least Concern,18.4923804375123,161.65685224839402
Fabaceae,Prioria copaifera,Least Concern,26.34190476735433,244.6861111111111
Burseraceae,Protium confusum,Least Concern,24.959688349037204,234.92299006323395
Burseraceae,Protium costaricense,Least Concern,24.217189825881935,253.8355754857997
Burseraceae,Protium glabrum,Least Concern,25.29302287756228,253.07124183006536
Burseraceae,Protium panamense,Least Concern,25.40867424625339,227.45606060606062
Burseraceae,Protium pecuniosum,Near Threatened,25.485416679912145,263.0625
Burseraceae,Protium pittieri,Vulnerable,25.41399028875532,290.86678832116786
Burseraceae,Protium ravenii,Least Concern,25.00222867773485,261.62984496124034
Burseraceae,Protium stevensonii,Least Concern,25.56071067399067,212.14763530601923
Burseraceae,Protium tenuifolium,Least Concern,25.65273807616461,220.3345238095238
Podocarpaceae,Prumnopitys standleyi,Endangered,,
Rosaceae,Prunus annularis,Least Concern,15.744025163680503,221.97720125786162
Rosaceae,Prunus rhamnoides,Least Concern,16.93207188137445,160.34824159021406
Malvaceae,Pseudobombax septenatum,Least Concern,25.226224702514145,162.67438764643236
Moraceae,Pseudolmedia glabrata,Least Concern,22.86977753290404,203.26960784313727
Moraceae,Pseudolmedia mollis,,,
Moraceae,Pseudolmedia spuria,Least Concern,24.04440102633089,207.59147135416666
Fabaceae,Pseudosamanea guachapele,Least Concern,25.04884340896018,152.98279952550416
Myrtaceae,Psidium friedrichsthalianum,Least Concern,23.892333343029023,181.8825
Myrtaceae,Psidium guajava,Least Concern,,
Myrtaceae,Psidium oligospermum,Least Concern - submitted,,
Rubiaceae,Psychotria berteroana,,,
Rubiaceae,Psychotria brachiata,,,
Rubiaceae,Psychotria calophylla,Near Threatened,24.921201009376375,236.46446078431373
Rubiaceae,Psychotria grandis,Least Concern,25.12897727605871,226.1087962962963
Rubiaceae,Psychotria luxurians,,,
Rubiaceae,Psychotria panamensis,Least Concern,22.68538387536889,230.6640438721984
Rubiaceae,Psychotria solitudinum,,,
Rubiaceae,Psychotria sylvivaga,Least Concern,15.779989355435543,224.2287685774947
Fabaceae,Pterocarpus michelianus,Near Threatened,26.200238096146357,160.52380952380952
Fabaceae,Pterocarpus officinalis,Near Threatened,26.00968472019688,256.1783033033033
Capparaceae,Quadrella indica,Least Concern,25.56947565123383,109.14575530586767
Capparaceae,Quadrella isthmensis,Least Concern,25.34960045716534,151.9206621004566
Vochysiaceae,Qualea sp.,,,
Malvaceae,Quararibea asterolepis,Least Concern,24.21279067093704,218.40374677002583
Malvaceae,Quararibea costaricensis,Least Concern,20.09290124653789,251.62860082304528
Malvaceae,Quararibea parvifolia,Near Threatened,24.431794841472918,291.95641025641027
Fagaceae,Quercus corrugata,Least Concern,19.078157341504937,177.14492753623188
Fagaceae,Quercus costaricensis,Vulnerable,11.164567902353076,198.69320987654322
Fagaceae,Quercus insignis,Endangered,20.07882166718728,172.29670912951167
Fagaceae,Quercus oleoides,Near Threatened,23.938543409860436,149.38991596638655
Fagaceae,Quercus sapotifolia,Least Concern,18.684581024295667,148.7952865064695
Celastraceae,Quetzalia occidentalis,Least Concern,17.146007960428022,222.5439121756487
Ochnaceae,Quiina cruegeriana,Least Concern,24.560232419005327,216.63633786848072
Ochnaceae,Quiina macrophylla,Least Concern,25.4927884472741,242.4874465811966
Rubiaceae,Randia armata,Least Concern,24.18248241368021,146.3841564927858
Rubiaceae,Randia gentryi,Least Concern,23.778079720510952,239.04347826086956
Rubiaceae,Randia grandifolia,Least Concern,23.971940639138765,243.91027397260274
Rubiaceae,Randia monantha,Least Concern,24.27578550088601,139.89754098360655
Arecaceae,Raphia taedigera,Least Concern,25.923030295516504,274.91818181818184
Apocynaceae,Rauvolfia aphlebia,Least Concern,20.548412718848578,250.76666666666668
Apocynaceae,Rauvolfia purpurascens,Least Concern,24.819298271547282,276.5842105263158
Rutaceae,Ravenia rosea,Least Concern,25.136189359267927,250.37519561815336
Verbenaceae,Rehdera trinervis,Least Concern,25.433710203697935,128.44346733668343
Lauraceae,Rhodostemonodaphne kunthiana,Least Concern,23.55573690491779,197.15949554896142
Phyllanthaceae,Richeria dressleri,Least Concern,24.95499030656593,259.05862403100775
Violaceae,Rinorea dasyadena,Least Concern,25.134228623274602,255.52444903581267
Violaceae,Rinorea deflexiflora,Least Concern - submitted,,
Violaceae,Rinorea hummelii,Least Concern,24.702844237089792,213.40709728867623
Violaceae,Rinorea squamata,Least Concern,25.37509416141977,230.26789077212806
Violaceae,Rinorea sylvatica,Least Concern,25.8440384491896,226.6801282051282
Fabaceae,RobrichiaÂ schomburgkii,,,
Rubiaceae,Rogiera amoena,Least Concern,18.108996215643305,173.3326231060606
Proteaceae,Roupala montana,Least Concern,20.856044175634423,122.10888554216868
Meliaceae,Ruagea glabra,Least Concern,18.237901351567395,169.98277875072972
Meliaceae,Ruagea insignis,Least Concern,23.121969710696828,205.52272727272728
Rubiaceae,Rudgea reducticalyx,Least Concern,22.97833334273762,278.80625
Rubiaceae,Rudgea trifurcata,Near Threatened,23.14067462512425,274.8412698412698
Polygonaceae,Ruprechtia costaricensis,Vulnerable,26.820833342415945,160.72321428571428
Lepidobotryaceae,Ruptiliocarpon caracolito,Least Concern,24.771019902395373,265.7929104477612
Rubiaceae,Rustia costaricensis,Least Concern,24.05312500728501,251.69270833333334
Rubiaceae,Rustia occidentalis,Least Concern,25.580905113262318,297.8405077262693
Salicaceae,Ryania speciosa,Least Concern,25.64377053226352,239.4391420361248
Humiriaceae,Sacoglottis trichogyna,Least Concern,25.7513888835907,267.80694444444447
Celastraceae,Salacia petenensis,Least Concern,21.450776411139447,220.74482401656314
Fabaceae,Samanea saman,Least Concern,25.69314480951533,155.43359040274208
Sapindaceae,Sapindus saponaria,Least Concern,22.63537142955496,104.98286221493923
Euphorbiaceae,Sapium allenii,Endangered,23.70166654586792,270.35
Euphorbiaceae,Sapium glandulosum,Least Concern,23.329380920547088,182.83551941238196
Euphorbiaceae,Sapium laurifolium,Least Concern,23.7236710998043,216.40919158361018
Euphorbiaceae,Sapium macrocarpum,Least Concern,23.666926412664967,126.27554112554112
Euphorbiaceae,Sapium rigidifolium,TO BE ASSESSED,,
Annonaceae,Sapranthus palanga,Least Concern,25.90416665209664,145.52951388888889
Annonaceae,Sapranthus viridiflorus,Least Concern,23.754457373951755,253.16472868217053
Rhamnaceae,Sarcomphalus chloroxylon,,,
Actinidiaceae,Saurauia montana,Least Concern,18.974400181390326,220.56619537275066
Actinidiaceae,Saurauia pittieri,Least Concern,17.95116664648056,262.6875
Actinidiaceae,Saurauia rubiformis,Least Concern,17.555112480873465,236.8926380368098
Actinidiaceae,Saurauia yasicae,Least Concern,23.465722421948,221.23051558752996
Fabaceae,Schizolobium parahyba,Least Concern,23.940213176169138,190.52543604651163
Schoepfiaceae,Schoepfia schreberi,Least Concern,23.295950268243462,111.13934022648941
Araliaceae,Sciodaphyllum cartagoense,Endangered,19.411666711171467,262.33333333333337
Araliaceae,Sciodaphyllum pittieri,Least Concern,14.998641290526459,215.90307971014494
Euphorbiaceae,Sebastiania pavoniana,Least Concern,22.631309514670146,79.17529761904763
Celastraceae,Semialarium mexicanum,Least Concern,25.291882795055365,115.41066282420749
Fabaceae,Senegalia polyphylla,Least Concern,23.748663158341508,124.95907297830375
Fabaceae,Senna papillosa,Least Concern,23.83396196180893,208.95986460348163
Sapotaceae,Sideroxylon capiri,Least Concern,24.399653351181293,106.91680532445923
Sapotaceae,Sideroxylon contrerasii,Near Threatened,22.63319895344396,210.9005376344086
Sapotaceae,Sideroxylon portoricense,Least Concern,20.44228142239357,178.41325136612022
Simarubaceae,Simaba polyphylla,,,
Simarubaceae,Simarouba amara,Least Concern,24.11155740471391,170.6577408433364
Simarubaceae,Simarouba glauca,Least Concern,25.24639944581018,131.8684329710145
Rubiaceae,Simira maxonii,Least Concern,25.47877249953983,275.90427927927925
Siparunaceae,Siparuna cuspidata,Least Concern,25.403286390881025,228.4379890453834
Siparunaceae,Siparuna gesnerioides,Least Concern,21.51587590741995,230.21269261962692
Siparunaceae,Siparuna guianensis,Least Concern,24.843642353769976,177.50448690114342
Elaeocarpaceae,Sloanea ampla,Least Concern,19.41637254415774,237.75980392156862
Elaeocarpaceae,Sloanea brachytepala,,,
Elaeocarpaceae,Sloanea brenesii,Near Threatened,19.58173760792888,237.18794326241135
Elaeocarpaceae,Sloanea faginea,Least Concern,22.596651112921883,248.44781931464175
Elaeocarpaceae,Sloanea floribunda,,,
Elaeocarpaceae,Sloanea garcia-cossioi,Vulnerable,25.810185114542644,277.6820987654321
Elaeocarpaceae,Sloanea geniculata,Endangered,25.43263883060879,305.6458333333333
Elaeocarpaceae,Sloanea guianensis,Least Concern,23.957168231156473,178.0529294274301
Elaeocarpaceae,Sloanea laurifolia,Least Concern,25.12422120756821,213.297507788162
Elaeocarpaceae,Sloanea medusula,Least Concern,25.066496612263375,250.76020408163265
Elaeocarpaceae,Sloanea meianthera,Least Concern,24.852960523283272,234.05975877192984
Elaeocarpaceae,Sloanea obtusifolia,,,
Elaeocarpaceae,Sloanea picapica,,,
Elaeocarpaceae,Sloanea terniflora,Least Concern,25.389002812858575,179.09134842055633
Elaeocarpaceae,Sloanea zuliaensis,Least Concern,25.230341853239597,249.63888888888889
Arecaceae,Socratea exorrhiza,Least Concern,25.21935027834947,224.170197740113
Rubiaceae,Solenandra mexicana,Least Concern,24.694062954537007,126.12714592274678
Rubiaceae,Sommera donnell-smithii,Least Concern,21.114780405888688,245.48620495495496
Moraceae,Sorocea affinis,Least Concern,25.180336250896342,226.22478070175438
Moraceae,Sorocea pubivena,Least Concern,25.351856587695426,250.10756802721087
Moraceae,Sorocea trophoides,Least Concern,20.492819835457002,213.42210617928635
Malpighiaceae,Spachea correae,Near Threatened,25.650106821304714,274.48397435897436
Anacardiaceae,Spondias mombin,Least Concern,25.386166666348775,165.2122222222222
Anacardiaceae,Spondias purpurea,Least Concern,24.474585618674205,125.18821362799264
Anacardiaceae,Spondias radlkoferi,Least Concern,25.4377034348562,202.64692585895116
Staphyleaceae,Staphylea occidentalis,,,
Rubiaceae,Stenostomum turrialbanum,Near Threatened,24.687142876216342,262.502380952381
Dichapetalaceae,Stephanopodium costaricense,Least Concern,25.18208331267039,266.04375
Malvaceae,Sterculia allenii,,,
Malvaceae,Sterculia apetala,Least Concern,25.508907509471673,169.14509621353196
Malvaceae,Sterculia costaricana,Least Concern,25.0579656830021,247.53799019607843
Malvaceae,Sterculia recordiana,Least Concern,24.7138628944801,271.5218068535826
Fabaceae,Stryphnodendron microstachyum,Least Concern,24.8586601587682,245.83741830065358
Styracaceae,Styrax argenteus,Least Concern,19.58037834940985,126.10756676557864
Styracaceae,Styrax glabrescens,Least Concern,18.468990394855158,154.1400641025641
Styracaceae,Styrax warscewiczii,Least Concern,16.20229165388478,182.0888888888889
Fabaceae,Swartzia costaricensis,Least Concern,24.102808957689263,276.57677902621725
Fabaceae,Swartzia nicaraguensis,,,
Fabaceae,Swartzia ochnacea,,,
Fabaceae,Swartzia zeledonensis,Vulnerable,25.0123809723627,262.1928571428571
Meliaceae,Swietenia macrophylla,Endangered,24.705223413481228,159.3977958937198
Clusiaceae,Symphonia globulifera,Least Concern,24.4546461502711,204.45761411584198
Symplocaceae,Symplocos costaricana,Least Concern,20.896376801573712,205.2826086956522
Symplocaceae,Symplocos limoncillo,Least Concern,19.18824938647181,163.28836930455637
Symplocaceae,Symplocos naniflora,Near Threatened,24.53333333414844,268.44871794871796
Symplocaceae,Symplocos panamensis,Least Concern,22.43147059795903,257.1166666666667
Symplocaceae,Symplocos serrulata,Least Concern,14.19385964849539,207.8061403508772
Symplocaceae,Symplocos striata,Vulnerable,25.841666603088377,296.88666666666666
Bignoniaceae,Tabebuia rosea,Least Concern,24.91385606021592,141.14409090909092
Apocynaceae,Tabernaemontana alba,Least Concern,24.904110458675834,172.90430016863405
Apocynaceae,Tabernaemontana amygdalifolia,Least Concern,24.979891529170782,147.1849186483104
Apocynaceae,Tabernaemontana arborea,Least Concern,25.440254825534243,218.57128099173553
Apocynaceae,Tabernaemontana donnell-smithii,Least Concern,24.596628642454295,179.30542216886755
Apocynaceae,Tabernaemontana glabra,Least Concern,25.386979159474574,111.86500850340136
Apocynaceae,Tabernaemontana longipes,Least Concern,21.969896650437544,237.6078811369509
Apocynaceae,Tabernaemontana robinsonii,Least Concern,24.677446796877163,254.05141843971631
Apocynaceae,Tabernaemontana undulata,Least Concern,25.649873919878953,204.83560262228946
Fabaceae,Tachigali costaricensis,Near Threatened,24.941830033570334,266.5522875816994
Fabaceae,Tachigali versicolor,Endangered,25.47307690595969,266.30128205128204
Sapindaceae,Talisia macrophylla,Least Concern - to be submitted,,
Sapindaceae,Talisia nervosa,Least Concern,25.590968040173163,242.0124750499002
Anacardiaceae,Tapirira guianensis,Least Concern,24.222231945723042,169.14172274562583
Anacardiaceae,Tapirira mexicana,Least Concern,22.0324999913402,179.3626436781609
Dichapetalaceae,Tapura guianensis,Least Concern,25.943051855941242,195.0545129579982
Bignoniaceae,Tecoma stans,Least Concern,20.80158288423665,86.88811114646305
Lamiaceae,Tectona grandis,,25.576171870653827,137.21321614583334
Combretaceae,Terminalia amazonia,Least Concern,24.941252872313576,203.64816091954023
Combretaceae,Terminalia bucidoides,Least Concern,24.361956539361373,266.7173913043478
Combretaceae,Terminalia oblonga,Least Concern,24.866806872571125,189.6268028846154
Combretaceae,Terminalia tetraphylla,Least Concern,24.404453328704832,155.98760000000001
Salicaceae,Tetrathylacium johansenii,Least Concern,26.27631891945855,222.1019184652278
Salicaceae,Tetrathylacium macrophyllum,Least Concern,24.76912449167661,247.51919720767887
Euphorbiaceae,Tetrorchidium euryphyllum,Least Concern,21.96666666301017,267.8341158059468
Euphorbiaceae,Tetrorchidium robledoanum,,,
Euphorbiaceae,Tetrorchidium rotundatum,Least Concern,24.655997896903134,206.11889596602973
Malvaceae,Theobroma angustifolium,Least Concern,24.823967592554457,221.62020648967552
Malvaceae,Theobroma cacao,Data Deficient - To be submitted,,
Malvaceae,Theobroma simiarum,Least Concern,24.00333334604899,282.0736111111111
Sapindaceae,Thouinia serrata,,,
Sapindaceae,Thouinidium decandrum,Least Concern,24.95982612509114,106.97030839895014
Ticodendraceae,Ticodendron incognitum,Near Threatened,20.104144389191624,249.6898395721925
Rubiaceae,Tocoyena pittieri,Least Concern,24.378995452297332,222.2648401826484
Rubiaceae,Tournefortiopsis crispiflora,,,
Clusiaceae,Tovomita longifolia,Least Concern,24.27192987475479,225.25438596491227
Clusiaceae,Tovomita weddelliana,,,
Anacardiaceae,Toxicodendron striatum,Least Concern,19.245612986147023,163.69851762820514
Burseraceae,Trattinnickia aspera,Least Concern,25.036538456647826,254.12884615384615
Cannabaceae,Trema domingense,Least Concern,25.00632185223459,199.35057471264366
Cannabaceae,Trema micrantha,,,
Meliaceae,Trichilia adolfi,Least Concern,24.34019604851218,221.8186274509804
Meliaceae,Trichilia americana,Least Concern,24.024524307150166,115.53682170542636
Meliaceae,Trichilia glabra,Least Concern,24.03483009415537,121.30542071197411
Meliaceae,Trichilia havanensis,Least Concern,22.201811587094767,153.90683229813664
Meliaceae,Trichilia hirta,,,
Meliaceae,Trichilia martiana,Least Concern,24.67139757052064,180.50954861111111
Meliaceae,Trichilia pallida,Least Concern,23.95107698751023,175.1226044226044
Meliaceae,Trichilia pleeana,Least Concern,24.97088962524861,172.580518018018
Meliaceae,Trichilia quadrijuga,Least Concern,25.430389216798034,201.77145708582833
Meliaceae,Trichilia septentrionalis,Least Concern,25.895211466509313,186.35323383084577
Meliaceae,Trichilia trifolia,Least Concern,26.28908730499328,117.72222222222223
Meliaceae,Trichilia tuberculata,Least Concern,25.69508922029109,207.30431547619048
Malvaceae,Trichospermum galeottii,Least Concern,24.579665655385472,218.28992015968063
Polygonaceae,Triplaris melaenodendron,,,
Moraceae,Trophis mexicana,Least Concern,21.90054945531533,186.73220826792254
Moraceae,Trophis racemosa,Least Concern,24.303961304890557,172.5046476437527
Ulmaceae,Ulmus mexicana,Least Concern,20.073547162507708,168.62445175438597
Annonaceae,Unonopsis costaricensis,Least Concern,21.961711750374185,261.7950450450451
Annonaceae,Unonopsis hammelii,Vulnerable,25.165909044670336,303.780303030303
Annonaceae,Unonopsis osae,Near Threatened,25.3723270758143,262.8333333333333
Annonaceae,Unonopsis pittieri,Least Concern,25.297266307541513,270.4012345679012
Annonaceae,Unonopsis storkii,Least Concern,24.871004550968674,252.02625570776254
Annonaceae,Unonopsis theobromifolia,Least Concern,24.75735292715185,238.26633986928104
Urticaceae,Urera baccifera,Least Concern,22.56413442380795,163.89543047882137
Urticaceae,Urera caracasana,Least Concern,22.610440364938047,162.92592592592592
Ericaceae,Vaccinium consanguineum,Least Concern,11.294223747732433,192.68607305936072
Fabaceae,Vachellia allenii,Near Threatened,25.140624940395355,262.09166666666664
Fabaceae,Vachellia collinsii,Least Concern,25.73600249123155,117.37105263157895
Humiraceae,Vantanea barbourii,Least Concern,24.564062515894573,264.5729166666667
Humiraceae,Vantanea occidentalis,Least Concern,24.406250013245476,320.59722222222223
Fabaceae,Vatairea erythrocarpa,Least Concern,25.958178256278813,216.17558139534884
Asteraceae,Verbesina oerstediana,Least Concern,18.105409342410738,209.79239766081872
Viburnaceae,Viburnum costaricanum,Least Concern,16.3777659689281,219.1017730496454
Viburnaceae,Viburnum stellatotomentosum,Least Concern,17.613122578324944,224.70689655172413
Viburnaceae,Viburnum venustum,Least Concern,14.050925915991819,224.86033950617283
Myristicaceae,Virola allenii,Vulnerable,24.56538466918163,268.94871794871796
Myristicaceae,Virola koschnyi,Least Concern,24.856010093592634,266.4890572390572
Myristicaceae,Virola montana,Least Concern,19.769827631698256,273.45402298850576
Myristicaceae,Virola multiflora,Least Concern,25.315863436963184,247.90160642570282
Myristicaceae,Virola nobilis,,,
Myristicaceae,Virola sebifera,Least Concern,24.489897170154304,192.7929405225125
Hypericaceae,Vismia baccifera,Least Concern,22.75901623663691,223.68824228028504
Hypericaceae,Vismia billbergiana,Least Concern,24.7209755967303,246.0479674796748
Hypericaceae,Vismia macrophylla,Least Concern,25.533748193321617,217.89818049490538
Lamiaceae,Vitex cooperi,Least Concern,24.90547335547573,259.3713017751479
Lamiaceae,Vitex cymosa,,,
Vochysiaceae,Vochysia allenii,Least Concern,24.093534502489813,286.4310344827586
Vochysiaceae,Vochysia ferruginea,Least Concern,25.427266152682567,220.8318887685085
Vochysiaceae,Vochysia gentryi,Least Concern,24.40734646822277,240.12171052631578
Vochysiaceae,Vochysia guatemalensis,Least Concern,24.634325402639647,206.55176767676767
Sapindaceae,Vouarana anomala,Least Concern,25.68354700909041,251.81695156695156
Rubiaceae,Warszewiczia coccinea,Least Concern,25.120132319868624,231.32687460617518
Rubiaceae,Warszewiczia uxpanapensis,Least Concern,22.89799195982845,252.00200803212851
Cunoniaceae,Weinmannia balbisiana,Least Concern,17.395327551286805,147.02023121387282
Cunoniaceae,Weinmannia karsteniana,Near Threatened,14.209114585071802,172.0703125
Cunoniaceae,Weinmannia pinnata,Least Concern,15.125098974401203,146.64875296912115
Cunoniaceae,Weinmannia wercklei,Least Concern,18.5924549714939,238.48648648648648
Arecaceae,Welfia regia,Least Concern - submitted,,
Lauraceae,Williamodendron glaucophyllum,Endangered,25.577604164679844,266.7552083333333
Celastraceae,Wimmeria bartlettii,Least Concern,23.582169116712084,200.51470588235296
Ximeniaceae,Ximenia americana,Least Concern,24.612702256985195,104.69907671806587
Annonaceae,Xylopia bocatorena,Least Concern,24.599957285987006,268.2183760683761
Annonaceae,Xylopia frutescens,Least Concern,24.964614791932544,179.67887713997985
Annonaceae,Xylopia macrantha,Least Concern,25.974222219255235,280.63
Annonaceae,Xylopia sericea,,,
Annonaceae,Xylopia sericophylla,Least Concern,25.515427903012114,286.1385135135135
Salicaceae,Xylosma chlorantha,Least Concern,21.665408809979755,209.72327044025158
Salicaceae,Xylosma flexuosa,Least Concern,21.082565222477566,109.35855072463768
Salicaceae,Xylosma hispidula,Least Concern,19.824305560853745,241.50625
Salicaceae,Xylosma intermedia,Least Concern,24.195529808534953,175.67411699779248
Rutaceae,Zanthoxylum acuminatum,Least Concern,22.54123974676992,186.01519808743168
Rutaceae,Zanthoxylum ekmanii,Least Concern,24.942208312749862,196.23125
Rutaceae,Zanthoxylum melanostictum,Least Concern,17.084207711093857,177.94914346895075
Rutaceae,Zanthoxylum panamense,Least Concern,24.823405753702357,214.8108695652174
Rutaceae,Zanthoxylum schreberi,Least Concern,24.253683816721512,142.1530758226037
Rutaceae,Zanthoxylum setulosum,Least Concern,24.97407405724453,183.53050108932462
Celastraceae,Zinowiewia integerrima,Least Concern,19.671531527751203,187.81981981981983
Fabaceae,Zygia brenesii,Near Threatened,21.29758776279918,233.05263157894737
Fabaceae,Zygia confusa,Endangered,25.132291661368477,263.1875
Fabaceae,Zygia gigantifoliola,Least Concern,25.615338150429842,284.8357487922705
Fabaceae,Zygia palmana,,,
